,best_match_score,Proffesions Sample,Proffesions ONet,Data Value,Standard Error,Lower CI Bound,Upper CI Bound
14272,0.666835535,Oral and Maxillofacial Surgeon,Oral and Maxillofacial Surgeons,4,0,4,4
14018,0.580219323,Graduate Teaching Assistant,Graduate Teaching Assistants,3.88,0.13,3.63,4.12
5552,0.525703198,Document Management Specialist,Document Management Specialists,3.88,0.23,3.43,4.32
7885,0.438576329,Emergency Management Coordinator,Emergency Management Directors,4,0,4,4
3637,0.362684538,Physician Assistant,Physician Assistants,4.12,0.13,3.88,4.37
10976,0.314972413,Purchasing Manager,Purchasing Managers,3.75,0.16,3.43,4.07
11931,0.291447944,Software Quality Assurance Analyst 1,Software Quality Assurance Engineers and Testers,3.88,0.13,3.63,4.12
15278,0.290739122,Information Security,Information Security Analysts,4,0,4,4
11982,0.287069173,Teacher,Teacher Assistants,3.12,0.13,2.88,3.37
9454,0.287069173,teacher,Teacher Assistants,3.12,0.13,2.88,3.37
6924,0.287069173,teacher,Teacher Assistants,3.12,0.13,2.88,3.37
6520,0.28095108,Information Technology Technician,Information Technology Project Managers,4,0,4,4
13551,0.256927518,Quality Control,Quality Control Systems Managers,4.12,0.13,3.88,4.37
15984,0.240833785,Graphic Designer,Graphic Designers,3.25,0.16,2.93,3.57
11581,0.230321055,Electricians Helper,Electricians,3,0,3,3
14322,0.225565472,Customer Service Supervisor,Customer Service Representatives,3.38,0.18,3.02,3.73
11631,0.220765119,Database Administrator,Database Administrators,3.5,0.19,3.13,3.87
10572,0.209025701,Civil Engineer,Civil Engineers,4,0,4,4
13501,0.200712731,Substitute Teacher,Teacher Assistants,3.12,0.13,2.88,3.37
9659,0.200712731,Substitute Teacher,Teacher Assistants,3.12,0.13,2.88,3.37
11681,0.200712731,Substitute Teacher,Teacher Assistants,3.12,0.13,2.88,3.37
7582,0.187810676,Senior Validation Engineer,Validation Engineers,4.12,0.13,3.88,4.37
13192,0.182904548,Answering Service Operator,"Switchboard Operators, Including Answering Service",3,0,3,3
4844,0.177217618,Electrical Engineer,Electrical Engineers,3.88,0.13,3.63,4.12
8443,0.169470972,food service leader,Food Service Managers,3.62,0.18,3.27,3.98
2720,0.166119779,Systems Programmer/Web Developer,Web Developers,3.62,0.18,3.27,3.98
15934,0.16055912,Sales Manager,Sales Managers,3.88,0.13,3.63,4.12
4643,0.16055912,Sales Manager,Sales Managers,3.88,0.13,3.63,4.12
11229,0.152171544,General Manager,General and Operations Managers,3.88,0.13,3.63,4.12
10875,0.152171544,General Manager,General and Operations Managers,3.88,0.13,3.63,4.12
9303,0.15143398,Water System Operator,Water and Wastewater Treatment Plant and System Operators,3.12,0.13,2.88,3.37
5602,0.139678551,Senior Slot Tech,Slot Supervisors,2.88,0.13,2.63,3.12
353,0.139173227,Customer Service Team Manager,Customer Service Representatives,3.38,0.18,3.02,3.73
13401,0.133410336,Telecommunications Specialist,Telecommunications Engineering Specialists,3.62,0.18,3.27,3.98
16243,0.133410336,Telecommunications Specialist,Telecommunications Engineering Specialists,3.62,0.18,3.27,3.98
4794,0.132337884,Senior Logistics Associate,Logistics Managers,4,0,4,4
17752,0.128484162,law enforcement,"Criminal Justice and Law Enforcement Teachers, Postsecondary",4,0,4,4
18306,0.104388171,Quality Assurance Manager,Software Quality Assurance Engineers and Testers,3.88,0.13,3.63,4.12
15781,0.093313682,Engineering Manager,Architectural and Engineering Managers,4.12,0.23,3.68,4.57
15480,0.09312751,Production Manager,Industrial Production Managers,3.75,0.16,3.43,4.07
13346,0.090649474,Sr. Web Analyst,Web Developers,3.62,0.18,3.27,3.98
2670,0.088153765,Parts Manager,Parts Salespersons,3.88,0.13,3.63,4.12
2114,0.085501666,Fire Protection Journeyman,Fire-Prevention and Protection Engineers,3.88,0.13,3.63,4.12
7532,0.08171342,Software Developer,"Software Developers, Applications",3.12,0.13,2.88,3.37
6365,0.08171342,Software Developer,"Software Developers, Applications",3.12,0.13,2.88,3.37
15731,0.08171342,Software Developer,"Software Developers, Applications",3.12,0.13,2.88,3.37
2467,0.079423656,Radiology Information Systems,Computer and Information Systems Managers,4,0,4,4
15530,0.078861978,team lead,Team Assemblers,2.88,0.23,2.43,3.32
